channels_to_turn_off,seed,validation-roc-auc,validation-pr-auc,test-roc-auc,test-pr-auc
0,510,0.8769478646689501,0.42984751261320253,0.7919825563268187,0.134370050829226
0,365,0.7896793221773027,0.20280767018025106,0.6531749959973265,0.0853613927375506
0,382,0.8469701905387771,0.2982487337794244,0.8071841779750508,0.1315027572893322
0,322,0.8648394225778125,0.3399424796851996,0.7609863962322979,0.1696751755105705
0,988,0.7603178847352434,0.21801116375001378,0.7365512388773354,0.11236683942695569
0,98,0.8258545121543239,0.2870871283223247,0.7832320579329883,0.14778537448355913
0,742,0.8817185835720012,0.36689104372004705,0.8070308899950017,0.14373324702597745
0,17,0.8401756444029352,0.31522843654403615,0.788556001726139,0.14747975777563688
0,595,0.7996493263010296,0.190258525613946,0.8112295946810789,0.09466312561452461
0,106,0.8441639222228708,0.412951896853152,0.791107955540831,0.14247474332454918
0,123,0.8362103389427317,0.38818402286578535,0.7522207076371896,0.11856698303606446
0,569,0.8309147078964034,0.33207328329895097,0.8395118091064038,0.1534955202706482
0,214,0.8129203831990455,0.30938256170283335,0.8325896787350042,0.17101513633851914
0,737,0.8540126624148972,0.3503199937789641,0.8058234907481694,0.13062236343051256
0,96,0.8513050622670204,0.304971126715249,0.7857949886084579,0.1353886375039824
1,510,0.8785782117838163,0.37738497886923916,0.8095215286176739,0.17152192298187902
1,365,0.881460489738071,0.3667648947035791,0.7622176895548628,0.17782855691473803
1,382,0.8721419340341786,0.377893882619302,0.7824456046653654,0.17525509271531556
1,322,0.8715179771268105,0.3542819299068454,0.8033467117981961,0.18080906741663355
1,988,0.8655908572518908,0.35737867593908823,0.7975778170727219,0.15089783842801463
1,98,0.8803142568598541,0.38426505858416377,0.7696264053153731,0.17292307144944596
1,742,0.8649610631055743,0.35823661248947714,0.768039140159211,0.17466709151843382
1,17,0.8691512591803134,0.3748521790940358,0.7644243157645904,0.17662477969281595
1,595,0.8723975799937108,0.3786975889802378,0.7912921783103442,0.1735427878308335
1,106,0.8669973807743944,0.3554570348376707,0.7776785979599448,0.17688069452858599
