channels_to_turn_off,seed,validation-roc-auc,validation-pr-auc,test-roc-auc,test-pr-auc
0,510,0.9884067445029237,0.9004357739769472,0.986650063112374,0.8955685922279181
0,365,0.987713728353181,0.8972967466858923,0.9852372515834696,0.8961655629057015
0,382,0.988711173500442,0.8981501723929222,0.9858982617210715,0.9035319944891919
0,322,0.9870771709082553,0.888451594792791,0.9844740163809156,0.9010061065371607
0,988,0.9891445133290958,0.9051793405319025,0.9853872118670132,0.8976935938922135
0,98,0.9870509889064908,0.8888331963381962,0.9836299520572369,0.8930738253212245
0,742,0.9874113467063065,0.8856252335714541,0.9852982319101445,0.8912930958503477
0,17,0.9873999297156567,0.8863131412058687,0.9863033507104624,0.8933791487913445
0,595,0.9886603269450372,0.9008874418618154,0.9851281964200473,0.8900662045306675
0,106,0.987215379119962,0.8882541115329131,0.9786273011488528,0.8832865422151295
1,510,0.9892078125937114,0.8916262641525884,0.9868336078580094,0.8774350517302726
1,365,0.9894238201298887,0.9050056558144317,0.986994134039739,0.9061566202130776
1,382,0.989768545805376,0.9050692361899826,0.9868720979156878,0.9064665049968575
1,322,0.9890577056617917,0.8967633695610233,0.9863139920793499,0.895463562408662
1,988,0.9891338671057471,0.8939717854132553,0.9874913350201034,0.8869752023767993
1,98,0.9888751783302627,0.9017921060748132,0.9861264851218947,0.9005566062829898
1,742,0.9890852124198554,0.8996583900199299,0.9877275205799166,0.9041500818098609
1,17,0.9895537185066287,0.9044522431206126,0.9873391106155203,0.9006010946214508
1,595,0.9885450731470212,0.8971082093757765,0.9855749829719229,0.8784476765616589
1,106,0.9899435581557177,0.900528281056948,0.9870257562635966,0.8986791932736019
2,510,0.9890337637024964,0.9018893011419238,0.9876415971864523,0.8827539189767724
2,365,0.9896726334493258,0.9033607912644964,0.9861695411570036,0.9031440536413808
2,382,0.9895201660425459,0.9026739197990241,0.9869893793855553,0.901499777928685
2,322,0.9900305103418907,0.9032661571139211,0.9860216940530973,0.8953346899375217
2,988,0.9893216934624721,0.9112410369080646,0.9836167446845041,0.89904007847844
2,98,0.9891024342517427,0.8994922442822032,0.987580314976972,0.8840185469348318
3,510,0.9888793693774632,0.8862080324766122,0.986647685785282,0.8577087188135206
3,365,0.9880840097820004,0.8943423082446135,0.9852349874624297,0.8556344935649013
3,382,0.9893404568289622,0.8924214559656948,0.9873002432043348,0.9015102742376427
3,322,0.9892413891442725,0.8964415320624691,0.9853921174625995,0.8846464529385177
3,988,0.9894739681774269,0.9000593193488872,0.9848798223419691,0.8814841713862953
4,510,0.9891723572978537,0.8910737216148769,0.9861316548649356,0.8697353880595815
4,365,0.9883805865876373,0.8893998257050696,0.9863217655615869,0.880690200523668
4,382,0.9890452288661025,0.8882637113710637,0.9856490197299281,0.8784216234415694
4,322,0.9884197512011325,0.8903284738995423,0.9855644925444382,0.8692161250467278
4,988,0.9891666247160505,0.8948469844532444,0.9863521802542229,0.8779331629402339
5,510,0.9887038030381239,0.8933675327926651,0.9856021146890513,0.8754883589433959
5,365,0.9880432313744681,0.8879464651005616,0.9860388259022994,0.8755760227140092
5,382,0.9888104820499134,0.88760387396836,0.9846528064723673,0.8719917194571737
5,322,0.9869879545931348,0.8752906569251976,0.9850903101279793,0.8589858722225515
5,988,0.988438875864795,0.8872937284488429,0.9861211644374508,0.870465641299073
6,510,0.9878822855273746,0.8815999810625452,0.9836100277920858,0.8490728923442316
6,365,0.9879576762040289,0.8885746014064491,0.9845020160111094,0.8672445276497995
6,382,0.9877629129415925,0.8796394540086292,0.9852958168477021,0.8640001617349268
6,322,0.9866306557760459,0.8661196364058446,0.9841067759482421,0.8476018579235126
6,988,0.9871852228493004,0.8746211670784715,0.9857887914687918,0.8611629608202064
7,510,0.9869210423567946,0.864024238809853,0.9849100106225012,0.8555251682046531
7,365,0.987199241179592,0.878600838656903,0.9837975724848917,0.8577817340732898
7,382,0.9868910787779581,0.8704781634756036,0.9841091155399834,0.8660819795016957
7,322,0.987567716122549,0.8697559609420276,0.9849246519385594,0.8426597536670571
7,988,0.9865475574263792,0.8689584217732356,0.9856265294609315,0.8358279937312724
8,510,0.9857729362886158,0.863700598276059,0.9828211325510795,0.8388408744637429
8,365,0.9849754329965964,0.855168004743546,0.9829227915857716,0.8304010784695187
8,382,0.9859591729377821,0.8665554831081617,0.9843588480906856,0.8627953410377398
8,322,0.9846634167584563,0.8501913811243749,0.9815766206861419,0.8341043663329814
8,988,0.9844404723165674,0.852169254697701,0.9839944000739613,0.8364147380987047
9,510,0.9836534225560715,0.8281296093358046,0.9799762644644314,0.8112864804081912
9,365,0.9834443519256056,0.8346216216380289,0.9809905152196103,0.8175486427798886
9,382,0.9829712212350246,0.8434028595463848,0.9801202625625699,0.8434453249657479
9,322,0.9831960685086881,0.8303247256429614,0.98114764521978,0.8219357735840879
9,988,0.9823262576092195,0.83395106920322,0.9809660627123792,0.8227028430573972
10,510,0.9797439944581832,0.7925405606200887,0.9762891433509368,0.7808775803619671
10,365,0.9802845913741024,0.7972567770557032,0.9780350825555133,0.8091598829334226
10,382,0.9795182078118713,0.8107520557049633,0.9772134330301295,0.7941242905273753
10,322,0.978930112361012,0.7949053397289263,0.9774179586307349,0.8080089736013666
10,988,0.9785121637919054,0.798608065497198,0.9771625657774331,0.7970450868161041
11,510,0.9680506355578562,0.7134137843981175,0.9662599173218468,0.7259675313944235
11,365,0.9657912757330901,0.693026129864073,0.9658501868843241,0.6968062696414866
11,382,0.9679625753936876,0.718501493728778,0.9661536545743735,0.729302633299407
11,322,0.9662227127299686,0.6868693587338002,0.9641662468608906,0.7234222718629195
11,988,0.9660856124962577,0.6850760471434784,0.9673133373710158,0.7243625674586966
